date,ed_reattends_mth
2014-04-01,5727
2014-05-01,6741
2014-06-01,6681
2014-07-01,7006
2014-08-01,6561
2014-09-01,6566
2014-10-01,5943
2014-11-01,5627
2014-12-01,5480
2015-01-01,5042
2015-02-01,5117
2015-03-01,6103
2015-04-01,6276
2015-05-01,6670
2015-06-01,6361
2015-07-01,6875
2015-08-01,6727
2015-09-01,6256
2015-10-01,6477
2015-11-01,6049
2015-12-01,5983
2016-01-01,5899
2016-02-01,5780
2016-03-01,6892
2016-04-01,6140
2016-05-01,6961
2016-06-01,6710
2016-07-01,7257
2016-08-01,7163
2016-09-01,6828
2016-10-01,6295
2016-11-01,5885
2016-12-01,5862
2017-01-01,5769
2017-02-01,5478
2017-03-01,6333
2017-04-01,6762
2017-05-01,6881
2017-06-01,6626
2017-07-01,7406
2017-08-01,6738
2017-09-01,6567
2017-10-01,6492
2017-11-01,5802
2017-12-01,5279
2018-01-01,5209
2018-02-01,4789
2018-03-01,5904
2018-04-01,6401
2018-05-01,6325
2018-06-01,6255
