month_year,em_admits
Aug-10,425702
Sep-10,424900
Oct-10,436215
Nov-10,429099
Dec-10,452728
Jan-11,442003
Feb-11,401206
Mar-11,446845
Apr-11,419243
May-11,427276
Jun-11,413320
Jul-11,425797
Aug-11,410554
Sep-11,410760
Oct-11,435080
Nov-11,424887
Dec-11,441655
Jan-12,436198
Feb-12,420552
Mar-12,454396
Apr-12,424128
May-12,443877
Jun-12,426005
Jul-12,444955
Aug-12,425172
Sep-12,421778
Oct-12,446302
Nov-12,435309
Dec-12,451180
Jan-13,437210
Feb-13,404950
Mar-13,453638
Apr-13,429244
May-13,437698
Jun-13,423199
Jul-13,443851
Aug-13,426909
Sep-13,427778
Oct-13,449631
Nov-13,441624
Dec-13,462417
Jan-14,457387
Feb-14,420487
Mar-14,467851
Apr-14,448681
May-14,466071
Jun-14,450817
Jul-14,463122
Aug-14,441757
Sep-14,446126
Oct-14,469268
Nov-14,464342
Dec-14,484360
Jan-15,463400
Feb-15,424634
Mar-15,474940
Apr-15,450253
May-15,468415
Jun-15,458790
Jul-15,473914
Aug-15,455432
Sep-15,464195
Oct-15,479987
Nov-15,475564
Dec-15,487798
Jan-16,484833
Feb-16,462864
Mar-16,494076
Apr-16,460209
May-16,493191
Jun-16,480210
Jul-16,490221
Aug-16,470554
Sep-16,475808
Oct-16,492983
Nov-16,489326
Dec-16,497915
Jan-17,492273
Feb-17,447688
Mar-17,509805
Apr-17,471328
May-17,505843
Jun-17,491206
Jul-17,499259
Aug-17,486074
Sep-17,486799
Oct-17,513217
Nov-17,513019
Dec-17,520803
Jan-18,526045
Feb-18,476867
Mar-18,526066
Apr-18,503393
May-18,533457
Jun-18,513254
Jul-18,529932
Aug-18,517299
Sep-18,510322
Oct-18,546022
Nov-18,545357
Dec-18,544903
Jan-19,564035
Feb-19,505722
Mar-19,555457
Apr-19,535226
May-19,547382
Jun-19,528801
Jul-19,554069
Aug-19,529231
Sep-19,529903
Oct-19,563079
