month_start,dtocs
01/08/10,109918
01/09/10,115855
01/10/10,113246
01/11/10,113091
01/12/10,116466
01/01/11,114346
01/02/11,112386
01/03/11,123130
01/04/11,108064
01/05/11,113364
01/06/11,117075
01/07/11,115517
01/08/11,117297
01/09/11,117194
01/10/11,116878
01/11/11,114705
01/12/11,112096
01/01/12,111934
01/02/12,109532
01/03/12,119736
01/04/12,108482
01/05/12,119331
01/06/12,110348
01/07/12,117200
01/08/12,120094
01/09/12,114264
01/10/12,116881
01/11/12,116169
01/12/12,107652
01/01/13,125716
01/02/13,109180
01/03/13,115158
01/04/13,113297
01/05/13,120550
01/06/13,112984
01/07/13,111951
01/08/13,122337
01/09/13,118864
01/10/13,123852
01/11/13,116932
01/12/13,112629
01/01/14,124289
01/02/14,112845
01/03/14,123061
01/04/14,116261
01/05/14,126779
01/06/14,124118
01/07/14,133903
01/08/14,137613
01/09/14,138267
01/10/14,142927
01/11/14,140949
01/12/14,139025
01/01/15,150392
01/02/15,134353
01/03/15,140390
01/04/15,138030
01/05/15,137115
01/06/15,139538
01/07/15,147376
01/08/15,145093
01/09/15,147738
01/10/15,160130
01/11/15,153155
01/12/15,154008
01/01/16,159467
01/02/16,158055
01/03/16,169882
01/04/16,168018
01/05/16,172294
01/06/16,173122
01/07/16,184578
01/08/16,187851
01/09/16,196570
01/10/16,200095
01/11/16,193206
01/12/16,195445
01/01/17,197511
01/02/17,186490
01/03/17,199641
01/04/17,176886
01/05/17,178209
01/06/17,177881
01/07/17,181891
01/08/17,180285
01/09/17,168041
01/10/17,169864
01/11/17,155137
01/12/17,145040
01/01/18,151383
01/02/18,140364
01/03/18,154494
01/04/18,145347
01/05/18,139812
01/06/18,135088
01/07/18,140938
01/08/18,146866
01/09/18,144595
01/10/18,146610
01/11/18,136183
01/12/18,128799
01/01/19,135428
01/02/19,127207
01/03/19,138776
01/04/19,130773
01/05/19,139415
01/06/19,135089
01/07/19,139903
01/08/19,148872
